Id,days_tracked,first_day,last_day
4020332650,62,2016-03-12,2016-05-12
1503960366,49,2016-03-25,2016-05-12
1624580081,49,2016-03-25,2016-05-12
4702921684,45,2016-03-29,2016-05-12
4445114986,45,2016-03-29,2016-05-12
6962181067,44,2016-03-30,2016-05-12
4319703577,43,2016-03-29,2016-05-12
1844505072,42,2016-04-01,2016-05-12
2320127002,42,2016-04-01,2016-05-12
1927972279,42,2016-04-01,2016-05-12
2873212765,42,2016-04-01,2016-05-12
7086361926,42,2016-04-01,2016-05-12
2026352035,42,2016-04-01,2016-05-12
5553957443,42,2016-04-01,2016-05-12
4558609924,42,2016-04-01,2016-05-12
8378563200,42,2016-04-01,2016-05-12
8877689391,42,2016-04-01,2016-05-12
2022484408,42,2016-04-01,2016-05-12
5577150313,41,2016-04-01,2016-05-11
8053475328,41,2016-04-02,2016-05-12
3977333714,41,2016-04-01,2016-05-11
8792009665,40,2016-04-01,2016-05-10
1644430081,40,2016-04-01,2016-05-11
6290855005,39,2016-04-01,2016-05-10
4388161847,39,2016-03-29,2016-05-12
8583815059,39,2016-04-01,2016-05-12
6117666160,38,2016-04-01,2016-05-09
7007744171,37,2016-04-01,2016-05-07
6775888955,35,2016-04-01,2016-05-07
4057192912,35,2016-03-12,2016-04-15
2347167796,32,2016-03-29,2016-04-29
8253242879,30,2016-04-01,2016-04-30
3372868164,30,2016-04-01,2016-05-01
6391747486,9,2016-04-01,2016-04-09
2891001357,8,2016-03-29,2016-04-05